Artist,minRank,Sdanceability_random,Dtfirstbestrank,Hpaudiosample,Hpch,Hpcover,Hpentry,Hpvideo,Hptitle,Svalence,Hpsong_Id
Vengaboys,14,0.7030,12.12.1999,http://streamd.hitparade.ch/audio/0000000/0004053.mp3,,http://streamd.hitparade.ch/cdimages/vengaboys-kiss_(when_the_sun_dont_shine)_s.jpg,28.11.1999,http://youtu.be/jql7ghuw7eQ,Kiss (When The Sun Don't Shine),0.89,0004053
Vengaboys,13,0.8000,11.04.1999,http://streamd.hitparade.ch/audio/0000000/0003869.mp3,,http://streamd.hitparade.ch/cdimages/vengaboys-boom_boom_boom_boom_s.jpg,14.03.1999,http://youtu.be/llyiQ4I-mcQ,"Boom, Boom, Boom, Boom!!",0.97,0003869
Vaya Con Dios,6,0.5950,05.08.1990,http://streamd.hitparade.ch/audio/0000000/0002114.mp3,,http://streamd.hitparade.ch/cdimages/vaya_con_dios-whats_a_woman_s.jpg,13.05.1990,,What's A Woman?,0.49,0002114
Various,14,-0.2330,18.09.1988,http://streamd.hitparade.ch/audio/0000000/0001839.mp3,,http://streamd.hitparade.ch/cdimages/various-italo_boot_mix_vol_11_s.jpg,11.09.1988,,Italo Boot Mix Vol. 11,-0.24,0001839
Various,7,-0.2210,21.02.1988,http://streamd.hitparade.ch/audio/0000000/0001745.mp3,,http://streamd.hitparade.ch/cdimages/various-italo_boot_mix_vol_10_s.jpg,21.02.1988,,Italo Boot Mix Vol. 10,-0.35,0001745
Various,10,-0.3030,20.09.1987,http://streamd.hitparade.ch/audio/0000000/0001675.mp3,,http://streamd.hitparade.ch/cdimages/various-italo_boot_mix_vol_9_s.jpg,20.09.1987,,Italo Boot Mix Vol. 9,-0.35,0001675
Various,12,-0.2370,03.05.1987,http://streamd.hitparade.ch/audio/0000000/0001611.mp3,,http://streamd.hitparade.ch/cdimages/various-italo_boot_mix_vol_8_s.jpg,03.05.1987,,Italo Boot Mix Vol. 8,-0.32,0001611
Vanity Fare,6,0.6250,07.10.1969,http://streamd.hitparade.ch/audio/0000000/0000110.mp3,,http://streamd.hitparade.ch/cdimages/vanity_fare-early_in_the_morning_s.jpg,23.09.1969,,Early In The Morning,0.92,0000110
Vanilla Ninja,18,0.5050,07.05.2006,http://streamd.hitparade.ch/audio/0190000/0190959.mp3,,http://streamd.hitparade.ch/cdimages/vanilla_ninja-dangerzone_s.jpg,07.05.2006,http://youtu.be/99gj1sRoulw,Dangerzone,0.63,0190959
Vanilla Ninja,17,0.6190,12.06.2005,http://streamd.hitparade.ch/audio/0090000/0090036.mp3,,http://streamd.hitparade.ch/cdimages/vanilla_ninja-cool_vibes_s.jpg,12.06.2005,,Cool Vibes,0.41,0090036
