Artist,minRank,Sdanceability_random,Dtfirstbestrank,Hpaudiosample,Hpch,Hpcover,Hpentry,Hpvideo,Hptitle,Svalence,Hpsong_Id
Kylie Minogue,1,0.7680,04.11.2001,http://streamd.hitparade.ch/audio/0000000/0004877.mp3,,http://streamd.hitparade.ch/cdimages/kylie_minogue-cant_get_you_out_of_my_head_s.jpg,30.09.2001,http://youtu.be/YPwtJ89jes4,Can't Get You Out Of My Head,0.97,0004877
Kylie & Jason,2,0.6950,19.02.1989,http://streamd.hitparade.ch/audio/0000000/0001904.mp3,,http://streamd.hitparade.ch/cdimages/kylie_jason-especially_for_you_s.jpg,22.01.1989,http://youtu.be/aGuNsiSZ9RI,Especially For You,0.37,0001904
Kygo feat. Parson James,3,0.8130,28.06.2015,http://streamd.hitparade.ch/audio/1400000/1405008.mp3,,http://streamd.hitparade.ch/cdimages/kygo_feat_parson_james-stole_the_show_s.jpg,05.04.2015,http://youtu.be/BgfcToAjfdc,Stole The Show,0.31,1405008
Kygo feat. Conrad,4,0.6240,01.03.2015,http://streamd.hitparade.ch/audio/1360000/1363743.mp3,,http://streamd.hitparade.ch/cdimages/kygo_feat_conrad-firestone_s.jpg,08.02.2015,http://youtu.be/9Sc-ir2UwGU,Firestone,0.23,1363743
Kygo & Selena Gomez,3,0.6400,19.03.2017,http://streamd.hitparade.ch/audio/1630000/1635373.mp3,,http://streamd.hitparade.ch/cdimages/kygo_selena_gomez-it_aint_me_s.jpg,26.02.2017,http://youtu.be/u3VTKvdAuIY,It Ain't Me,0.52,1635373
Kwabs,4,0.6150,25.01.2015,http://streamd.hitparade.ch/audio/1320000/1323498.mp3,,http://streamd.hitparade.ch/cdimages/kwabs-walk_s.jpg,16.11.2014,http://youtu.be/TW9uj83Vq-0,Walk,0.58,1323498
Kunz,3,0.6450,07.09.2014,http://streamd.hitparade.ch/audio/1280000/1283287.mp3,ch,http://streamd.hitparade.ch/cdimages/kunz-lueuet_so_wie_mer_s.jpg,07.09.2014,http://youtu.be/7VGCuwglGac,Lüüt so wie mer,0.43,1283287
Krush,1,0.7390,06.03.1988,http://streamd.hitparade.ch/audio/0000000/0001740.mp3,,http://streamd.hitparade.ch/cdimages/krush-house_arrest_s.jpg,14.02.1988,http://youtu.be/rlAckgMHDVc,House Arrest,0.54,0001740
Kris Kross,1,0.7490,21.06.1992,http://streamd.hitparade.ch/audio/0000000/0002451.mp3,,http://streamd.hitparade.ch/cdimages/kris_kross-jump_s.jpg,31.05.1992,http://youtu.be/010KyIQjkTk,Jump,0.46,0002451
Koreana,1,0.6420,18.09.1988,http://streamd.hitparade.ch/audio/0000000/0001832.mp3,,http://streamd.hitparade.ch/cdimages/koreana-hand_in_hand_s.jpg,28.08.1988,,Hand In Hand,0.32,0001832
Kool & The Gang,2,0.6670,21.12.1986,http://streamd.hitparade.ch/audio/0000000/0001534.mp3,,http://streamd.hitparade.ch/cdimages/kool_the_gang-victory_s.jpg,30.11.1986,http://youtu.be/jJhf4zK_RKA,Victory,0.78,0001534
Kool & The Gang,2,0.6390,03.11.1985,http://streamd.hitparade.ch/audio/0000000/0001315.mp3,,http://streamd.hitparade.ch/cdimages/kool_the_gang-cherish_s.jpg,08.09.1985,http://youtu.be/s09LuDYX12g,Cherish,0.40,0001315
