Artist,minRank,Sdanceability_random,Dtfirstbestrank,Hpaudiosample,Hpch,Hpcover,Hpentry,Hpvideo,Hptitle,Svalence,Hpsong_Id
Tom Walker,37,0.5860,31.12.2017,http://streamd.hitparade.ch/audio/1700000/1701245.mp3,,http://streamd.hitparade.ch/cdimages/tom_walker-leave_a_light_on_s.jpg,10.12.2017,http://youtu.be/nqnkBdExjws,Leave A Light On,0.27,1701245
Tom Petty & The Heartbreakers,75,0.6510,08.10.2017,http://streamd.hitparade.ch/audio/0010000/0014357.mp3,,http://streamd.hitparade.ch/cdimages/tom_petty_the_heartbreakers-learning_to_fly_s.jpg,08.10.2017,http://youtu.be/s5BJXwNeKsQ,Learning To Fly,0.95,0014357
Tom Petty,86,0.5460,08.10.2017,http://streamd.hitparade.ch/audio/0000000/0006987.mp3,,http://streamd.hitparade.ch/cdimages/tom_petty-free_fallin_s.jpg,08.10.2017,http://youtu.be/1lWJXDG2i0A,Free Fallin',0.56,0006987
Tom Odell,73,0.6060,19.06.2016,http://streamd.hitparade.ch/audio/1540000/1541133.mp3,,http://streamd.hitparade.ch/cdimages/tom_odell-magnetised_s.jpg,19.06.2016,http://youtu.be/4fgzu9Fo66Y,Magnetised,0.20,1541133
Tom Odell,23,0.4450,23.03.2014,http://streamd.hitparade.ch/audio/1080000/1084143.mp3,,http://streamd.hitparade.ch/cdimages/tom_odell-another_love_s.jpg,17.02.2013,http://youtu.be/MwpMEbgC7DA,Another Love,0.13,1084143
Tom Novy feat. Lima,83,-0.2680,06.08.2000,http://streamd.hitparade.ch/audio/0000000/0004375.mp3,,http://streamd.hitparade.ch/cdimages/tom_novy_feat_lima-welcome_to_the_race_s.jpg,30.07.2000,,Welcome To The Race,-0.39,0004375
Tom Novy & Lima,99,0.7200,28.08.2005,http://streamd.hitparade.ch/audio/0110000/0119525.mp3,,http://streamd.hitparade.ch/cdimages/tom_novy_lima-take_it_s.jpg,28.08.2005,,Take It,0.83,0119525
Tom Jones vs. Funkstar Deluxe feat. DJ The Wave,96,-0.2660,26.12.2004,http://streamd.hitparade.ch/audio/0000000/0006411.mp3,,http://streamd.hitparade.ch/cdimages/tom_jones_vs_funkstar_deluxe_feat_dj_the_wave-shes_a_lady_s.jpg,26.12.2004,,She's A Lady,-0.23,0006411
Tom Jones and The Cardigans,31,0.7490,31.10.1999,http://streamd.hitparade.ch/audio/0000000/0004017.mp3,,http://streamd.hitparade.ch/cdimages/tom_jones_and_the_cardigans-burning_down_the_house_s.jpg,03.10.1999,http://youtu.be/iYuldgIOelY,Burning Down The House,0.33,0004017
Tom Jones & Stereophonics,51,0.7120,11.06.2000,http://streamd.hitparade.ch/audio/0000000/0004292.mp3,,http://streamd.hitparade.ch/cdimages/tom_jones_stereophonics-mama_told_me_not_to_come_s.jpg,28.05.2000,http://youtu.be/TwL6SjjupbU,Mama Told Me Not To Come,0.58,0004292
Tom Jones & Heather Small,56,0.7800,10.12.2000,http://streamd.hitparade.ch/audio/0000000/0004524.mp3,,http://streamd.hitparade.ch/cdimages/tom_jones_heather_small-you_need_love_like_i_do_s.jpg,03.12.2000,http://youtu.be/Z9YWVCchc5s,You Need Love Like I Do,0.96,0004524
Tom Jones,30,0.5030,19.01.2003,http://streamd.hitparade.ch/audio/0000000/0005386.mp3,,http://streamd.hitparade.ch/cdimages/tom_jones-tom_jones_international_s.jpg,17.11.2002,http://youtu.be/LmNcTej7YO0,Tom Jones International,0.92,0005386
Tom Hooker,23,-0.3960,19.07.1987,http://streamd.hitparade.ch/audio/0000000/0001641.mp3,,http://streamd.hitparade.ch/cdimages/tom_hooker-atlantis_s.jpg,05.07.1987,,Atlantis,-0.38,0001641
Tom Frager & Gwayav',36,0.5890,30.08.2009,http://streamd.hitparade.ch/audio/0600000/0600854.mp3,,http://streamd.hitparade.ch/cdimages/tom_frager_gwayav-lady_melody_s.jpg,02.08.2009,http://youtu.be/VadTd3uYCg4,Lady Melody,0.61,0600854
Tom Dice,32,0.5430,13.06.2010,http://streamd.hitparade.ch/audio/0680000/0682099.mp3,,http://streamd.hitparade.ch/cdimages/tom_dice-me_and_my_guitar_s.jpg,13.06.2010,http://youtu.be/zcwr9s1Wce4,Me And My Guitar,0.42,0682099
Tokio Hotel,21,0.4090,22.04.2007,http://streamd.hitparade.ch/audio/0290000/0292950.mp3,,http://streamd.hitparade.ch/cdimages/tokio_hotel-spring_nicht_s.jpg,22.04.2007,http://youtu.be/rdTyUamjssc,Spring nicht,0.17,0292950
Tokio Hotel,69,0.5790,10.06.2007,http://streamd.hitparade.ch/audio/0310000/0312008.mp3,,http://streamd.hitparade.ch/cdimages/tokio_hotel-monsoon_s.jpg,10.06.2007,http://youtu.be/Le_IyYLrUtQ,Monsoon,0.18,0312008
Tokio Hotel,65,0.6000,12.10.2014,http://streamd.hitparade.ch/audio/1330000/1337526.mp3,,http://streamd.hitparade.ch/cdimages/tokio_hotel-love_who_loves_you_back_s.jpg,12.10.2014,http://youtu.be/8HEvF8QLoYY,Love Who Loves You Back,0.55,1337526
Tokio Hotel,44,0.4950,18.10.2009,http://streamd.hitparade.ch/audio/0610000/0612317.mp3,,http://streamd.hitparade.ch/cdimages/tokio_hotel-automatisch_s.jpg,04.10.2009,http://youtu.be/_lwKrXd0PGA,Automatisch,0.54,0612317
Tobias Regner,91,0.3640,23.07.2006,http://streamd.hitparade.ch/audio/0190000/0199101.mp3,,http://streamd.hitparade.ch/cdimages/tobias_regner-shes_so_s.jpg,23.07.2006,,She's So,0.42,0199101
TLC,96,0.8820,09.02.2003,http://streamd.hitparade.ch/audio/0000000/0005476.mp3,,http://streamd.hitparade.ch/cdimages/tlc-girl_talk_s.jpg,09.02.2003,http://youtu.be/_20kjvQ1OvI,Girl Talk,0.34,0005476
TLC,29,0.7190,17.12.1995,http://streamd.hitparade.ch/audio/0000000/0003136.mp3,,http://streamd.hitparade.ch/cdimages/tlc-diggin_on_you_s.jpg,17.12.1995,http://youtu.be/tReIHIDX354,Diggin' On You,0.31,0003136
TLC,29,0.5480,23.01.2000,http://streamd.hitparade.ch/audio/0000000/0004088.mp3,,http://streamd.hitparade.ch/cdimages/tlc-dear_lie_s.jpg,19.12.1999,http://youtu.be/mcF5wl2PlmU,Dear Lie,0.24,0004088
TLC,26,0.8110,19.03.1995,http://streamd.hitparade.ch/audio/0000000/0002958.mp3,,http://streamd.hitparade.ch/cdimages/tlc-creep_s.jpg,26.02.1995,http://youtu.be/LlZydtG3xqI,Creep,0.80,0002958
Tiziano Ferro & Jamelia,31,0.5710,29.08.2004,http://streamd.hitparade.ch/audio/0000000/0006241.mp3,,http://streamd.hitparade.ch/cdimages/tiziano_ferro_jamelia-universal_prayer_s.jpg,15.08.2004,http://youtu.be/KBz2JphFoYU,Universal Prayer,0.57,0006241
Tiziano Ferro,98,0.4330,01.04.2007,http://streamd.hitparade.ch/audio/0210000/0214184.mp3,,http://streamd.hitparade.ch/cdimages/tiziano_ferro-ti_scattero_una_foto_s.jpg,01.04.2007,,Ti scatterò una foto,0.37,0214184
